id,term, knowledge area
5804,IOT DEVICES,CPS
5805,IOT ENDPOINT SECURITY,CPS
5806,IOT SECURITY FROM A MANUFACTURER'S PERSPECTIVE,SSL
5807,IOT SECURITY FROM A USER'S PERSPECTIVE,CPS
5808,IP  INTERNET PROTOCOL ,NS
5809,IP  INTERNET PROTOCOL    FRAGMENTATION ATTACKS   FRAGGLE,NS
5810,IP  INTERNET PROTOCOL    FRAGMENTATION ATTACKS   NFS,NS
5811,IP  INTERNET PROTOCOL    FRAGMENTATION ATTACKS   NNTP SECURITY,NS
5812,IP  INTERNET PROTOCOL    FRAGMENTATION ATTACKS   NTP,NS
5813,IP  INTERNET PROTOCOL    FRAGMENTATION ATTACKS   OVERLAPPING FRAGMENT ATTACK,NS
5814,IP  INTERNET PROTOCOL    FRAGMENTATION ATTACKS   SMURF,NS
5815,IP  INTERNET PROTOCOL    FRAGMENTATION ATTACKS   SOURCE ROUTING EXPLOITATION,NS
5816,IP  INTERNET PROTOCOL    FRAGMENTATION ATTACKS   TEARDROP,NS
5817,IP  INTERNET PROTOCOL    NETWORKS CLASSES,NS
5818,IP  INTERNET PROTOCOL    ROUTING TABLES,NS
5819,IP ADDRESS,MAT;AB;NS;SO;WAM;LR;AAA;SSL;POR
5820,IP ADDRESS SPOOFING,NS
5821,IP BLACKLIST,AB;SO
5822,IP FORWARDING,NS
5823,IP HEADER,NS
5824,IP LAYER,LR
5825,IP MASQUERADING,NS
5826,IP NETWORK,NS
5827,IP PACKET,SO
5828,IP PREFIX,NS
5829,IP SECURITY  IPSEC ,NS
5830,IP SECURITY  IPSEC  PROTOCOL,NS
5831,IP SPOOFING,NS
5832,IP SPOOFING:,NS
5833,IP TELESCOPES,NS
5834,IPAAS  INTEGRATION PLATFORM AS A SERVICE ,DSS
5835,IPFIX,SO;NS
5836,IPS  INTRUSION PREVENTION SYSTEM ,SO
5837,IPSEC,AC;CPS;C;NS
5838,IPSEC    AUTHENTICATION,AAA
5839,IPSEC VPN,NS
5840,IPSS  INTRUSION PREVENTION SYSTEMS ,SO
5841,IPSS  INTRUSION PREVENTION SYSTEMS    INCIDENT RESPONSE AND,SO
5842,IPSS  INTRUSION PREVENTION SYSTEMS    WIRELESS NETWORKS,NS
5843,IPV4,WAM;NS
5844,IPV4 SECURITY,NS
5845,IPV4 VS IPV6 KEY DIFFERENCES AND OPTIONS,NS
5846,IPV6,WAM;CPS;NS
5847,IPV6 SECURITY,NS
5848,IRAM 2,RMG
5849,IRC  INTERNET RELAY CHAT    ATTACKS,MAT
5850,IRIS OR RETINA SCAN,AAA
5851,IRIS PATTERNS,AAA;HF;OSV
5852,IRIS SCAN,AAA
5853,IRM  INFORMATION RIGHTS MANAGEMENT ,AAA
5854,IRONCLAD,FM
5855,IRP  INCIDENT RESPONSE PLAN ,SO
5856,IRRECONCILABLE CONFLICT,LR
5857,IRREGULARITIES,LR
5858,IRTF,AC
5859,IRTS  INCIDENT RESPONSE TEAMS ,SO
5860,IS AUDIT,SO;RMG
5861,IS AUDIT FUNCTION,RMG
5862,IS BLACKLISTING DEAD? OR DYING ?,SO
5863,IS CONTROL,SO
5864,IS21434,SSL
5865,ISA 62443 SERIES OF STANDARDS: INDUSTRIAL AUTOMATION AND CONTROL SYSTEMS SECURITY,CPS
5866,ISA 99 IEC 62443,CPS
5867,ISA 99 AND ISA IEC 62443,CPS
5868,ISA100,CPS
5869,ISABELLE,FM;INTRO
5870,ISACA CISM CERTIFICATION,RMG
5871,ISACA CODE OF PROFESSIONAL ETHICS,POR
5872,ISACA IS AUDIT AND ASSURANCE STANDARDS,RMG
5873,ISAE 3402,SSL
5874,ISAKMP  INTERNET SECURITY ASSOCIATION AND KEY MANAGEMENT PROTOCOL ,WAM
5875,ISATAP  INTRA SITE AUTOMATIC TUNNEL ADDRESSING PROTOCOL ,NS
5876,ISCSI  INTERNET SMALL COMPUTER SYSTEM INTERFACE ,CPS
5877,ISDN  INTEGRATED SERVICES DIGITAL NETWORK ,NS
5878,ISNS  INTERNET STORAGE NAME SERVICE ,NS
5879,ISO,AC;HF;FM;SSL;LR;DSS;RMG
5880,ISO 20000,RMG
5881,ISO 26262 FUNCTIONAL SAFETY FOR AUTOMOTIVE SPECIFIC SAFETY CRITICAL COMPONENTS,SSL
5882,ISO 27002:2013,RMG
5883,ISO 2700X,RMG
5884,ISO 31000,RMG
5885,ISO 31000:2009,RMG
5886,ISO 31000:2009 RISK MANAGEMENT   PRINCIPLES AND GUIDELINES,RMG
5887,ISO IEC TR 15504,SSL
5888,ISO  IEC 27000 SERIES.,RMG
5889,ISO  IEC 27001:2013,INTRO
5890,ISO  IEC 27001:2013 INFORMATION TECHNOLOGY   SECURITY TECHNIQUES   INFORMATION SECURITY MANAGEMENT SYSTEMS   REQUIREMENTS,RMG
5891,ISO  IEC 27005:2011 INFORMATION TECHNOLOGY   SECURITY TECHNIQUES   INFORMATION SECURITY RISK MANAGEMENT,RMG
5892,ISO  IEC PROCESS STEPS,RMG
5893,ISO IEC 15504,RMG
5894,ISO IEC 17799,RMG
5895,ISO IEC 27000 SERIES,RMG
5896,ISO IEC 27001:2003,RMG
5897,ISO IEC 27001:2013   ACCESS CONTROL,AAA
5898,ISO IEC 27001:2013   ASSET MANAGEMENT,SO
5899,ISO IEC 27001:2013   COMMUNICATIONS SECURITY,RMG
5900,ISO IEC 27001:2013   COMPLIANCE,RMG
5901,ISO IEC 27001:2013   CRYPTOGRAPHY,C
5902,ISO IEC 27001:2013   DEVELOPMENT AND MAINTENANCE,SSL
5903,ISO IEC 27001:2013   INFORMATION SECURITY ASPECTS OF BUSINESS CONTINUITY MANAGEMENT,SO
5904,ISO IEC 27001:2013   INFORMATION SECURITY POLICIES,SO
5905,ISO IEC 27001:2013   ISO IEC 27005,RMG
5906,ISO IEC 27001:2013   MANAGEMENT,RMG
5907,ISO IEC 27001:2013   OPERATIONS SECURITY,SO
5908,ISO IEC 27001:2013   ORGANIZATION OF INFORMATION SECURITY,SO
5909,ISO IEC 27002 SERIES,RMG
5910,ISO IEC 27004:2009,RMG
5911,ISO IEC 27005,RMG
5912,ISO IEC 27005:2011,RMG
5913,ISO IEC 27034,RMG
5914,ISO IEC 31000,RMG
5915,ISO IEC PROCESS STEPS,RMG
5916,ISO IEC PROCESS STEPS   LEGAL AND REGULATORY REQUIREMENTS IN,LR
5917,ISO IEC PROCESS STEPS   METHODOLOGIES OF,RMG
5918,ISOAEC 27001,RMG
5919,ISOAEC 27002:2013,SO;RMG
5920,ISOAEC 27005,RMG
5921,ISOGENY,C
5922,ISOLATED MALWARE,MAT
5923,ISOLATION,HS;MAT;DSS;AC;WAM;FM;CPS;OSV;SSL;INTRO;SS;NS
5924,ISOLATION AND MONITORING OF GUEST OPERATING SYSTEMS,OSV
5925,ISOSYNCHRONOUS PROTOCOL,SO
5926,ISP  INTERNET SERVICE PROVIDER ,DSS
5927,ISSO   RESPONSIBILITIES OF,RMG
5928,ISSO   RESPONSIBILITIES OF   SECURITY PLANNING,SO
5929,ISSO   ROLE OF IN CONTINUOUS MONITORING,RMG
5930,ISSO   SYSTEM INVENTORY PROCESS RESPONSIBILITY OF,RMG
5931,ISSO   USE OF RISK REMEDIATION PLAN BY,SO;RMG
5932,ISSUES    LEGAL AND REGULATORY,LR
5933,IT   AS OPERATIONAL ACTIVITY,SO
5934,IT   IN SECURITY PROGRAM MANAGEMENT,SO
5935,IT AUDIT,RMG
5936,IT CONCEPTS AND AREAS OF CONCERN FOR THE RISK PRACTITIONER,RMG
5937,IT EQUIPMENT AND FACILITIES  INSURANCE COVERAGE ,SO
5938,IT GOVERNANCE,RMG
5939,IT INFRASTRUCTURE LIBRARY,RMG
5940,IT INFRASTRUCTURE LIBRARY  ITIL ,RMG
5941,IT INFRASTRUCTURE LIBRARY  ITIL    SERVICE DESIGN,RMG
5942,IT INFRASTRUCTURE LIBRARY  ITIL    SERVICE STRATEGY,RMG
5943,IT INFRASTRUCTURE LIBRARY  ITIL    SERVICE TRANSITION,RMG
5944,IT IS A DANGEROUS WORLD OUT THERE,AB
5945,IT OPERATIONS MANAGEMENT,SO
5946,IT OPERATIONS MANAGEMENT AND ACQUISITION,SO
5947,IT RISK MANAGEMENT,SO;RMG
5948,IT RISK MANAGEMENT LIFE CYCLE,SO;RMG
5949,IT RISK SCENARIOS,RMG
5950,IT RISK STRATEGY,RMG
5951,IT STEERING COMMITTEE,RMG
5952,IT STRATEGIC PLAN,RMG
5953,IT STRATEGY COMMITTEE,RMG
5954,IT SYSTEM DEVELOPMENT LIFE CYCLE,SSL
5955,ITAF,RMG
5956,ITAM  IT ASSET MANAGEMENT ,SO
5957,ITERATIVE PROCESS,FM;F
5958,ITIL,RMG
5959,ITSEC  INFORMATION TECHNOLOGY SECURITY EVALUATION CRITERIA ,SSL
5960,IV  INITIALIZATION VECTOR ,C
5961,JABBER,WAM
5962,JAILS,OSV;SS
5963,JAMMING,PLS
5964,JAMMING AND JAMMING RESILIENT COMMUNICATION,PLS
5965,JAMMING RESILIENCE,PLS
5966,JAMMING TO SIGNAL RATIO,PLS
5967,JASMIN,FM
5968,JAVA,FM;WAM;AAA;SSL;AC;SS
5969,JAVA   APPLETS,WAM
5970,JAVA   SECURITY,SS
5971,JAVA APPLET ATTACK,MAT;WAM
5972,JAVA APPLETS,WAM
5973,JAVA BYTECODE,FM;SS
5974,JAVA REMOTE METHOD INVOCATION,AAA
5975,JAVA SE,SSL
5976,JAVA SECURITY MODEL,AAA
5977,JAVA VIRTUAL MACHINE,SS
5978,JAVACARDS,HS
5979,JAVASCRIPT,AB;FM;SS;MAT;SO;WAM;OSV;SSL
5980,JERICHO FORUM* SELF ASSESSMENT SCHEME,RMG
5981,JIF,FM
5982,JITK,FM
5983,JITTER,NS
5984,JOANA,FM
5985,JOB   TRAINING,HF
5986,JOB ROTATION,HF
5987,JOINT ANALYSIS DEVELOPMENT  JAD ,SSL
5988,JPEG IMAGE,F
5989,JSON,SO;WAM
5990,JTAG INTERFACE,F
5991,JUDGE,LR
5992,JUDICIAL AUTHORITY,LR
5993,JUDICIAL REQUIREMENT,F
5994,JUMP BOXES AND SERVERS,NS
5995,JURIDICAL JURISDICTION,LR
5996,JURISDICTION,POR;AB;LR;F
5997,JURISDICTION AND ELECTRONIC DISCOVERY IN THE CLOUD,LR
5998,JUS AD BELLUM,CPS
5999,JUS IN BELLUM,CPS
6000,JUST CULTURE,RMG
6001,JUST IN TIME,FM;SS
6002,JUSTICE,LR
6003,JUSTICE JOSEPH STORY,LR
6004,JWT,WAM
6005,K ANONYMITY,POR
6006,K NEAREST NEIGHBOR,SO
6007,KAD NETWORK CRAWLER,DSS
6008,KAD P2P NETWORK,DSS
6009,KADEMLIA,DSS;NS
6010,KALI VIRTUAL   CONFIGURATION,SO
6011,KALI VIRTUAL   DOWNLOADING,SO
6012,KALI VIRTUAL   SCANS LAUNCHING,SO
6013,KAOS,SSL
6014,KASLR,OSV
6015,KASPERSKY,SO
6016,KAZAA,DSS
6017,KCOFI,FM
6018,KDC  KEY DISTRIBUTION CENTER ,C
6019,KDD DATASET,SO
6020,KDFS  KEY DERIVATION FUNCTIONS ,C
6021,KECCAK,C
6022,KECCAK MAC,C
6023,KEEP A RUNNING INCIDENT RESPONSE LOG,SO
6024,KEEP ALL OBJECTIVES SATISFIED,SSL
6025,KEEP CREDENTIALS SAFE,SSL
6026,KEK  KEY ENCRYPTING KEYS ,C
6027,KELIHOS,MAT
6028,KERBEROS,DSS;AAA;FM;C
6029,KERBEROS AUTHENTICATION SERVER,AAA
6030,KERBEROS PROTOCOL,AAA
6031,KERBEROS TICKET,AAA
6032,KERCKHOFF,INTRO;OSV;LR;HF
6033,KERCKHOFF'S PRINCIPLE,C
6034,KERCKHOFFS' PRINCIPLE,C
6035,KERNEL,WAM;OSV;FM;F;SO;HS;CPS;SSL;MAT
6036,KERNEL ASLR,OSV
6037,KERNEL LOG,F;SO
6038,KERNEL MEMORY,OSV;SSL
6039,KERNEL MODE,OSV
6040,KERNEL MODULE,OSV
6041,KERNEL PRIVILEGES,OSV
6042,KERNEL MODE ROOTKITS,MAT
6043,KEY,C
6044,KEY   CLUSTERING,C
6045,KEY   DERIVATION FUNCTIONS  KDFS ,C
6046,KEY   DISTRIBUTION,C
6047,KEY   ESCROW,C
6048,KEY   LENGTH,C
6049,KEY   MANAGEMENT,C
6050,KEY   RECOVERY,C
6051,KEY   STORAGE,C
6052,KEY   WRAPPING,C
6053,KEY AGREEMENT,FM;C
6054,KEY AGREEMENT PROTOCOLS,C
6055,KEY CONFIRMATION,C
6056,KEY CONTROL PRINCIPLES,INTRO
6057,KEY CONTROL PRINICIPLES,RMG
6058,KEY DERIVATION,PLS;C;NS;AC
6059,KEY DERIVATION FUNCTION,C;AC
6060,KEY DERIVATION FUNCTIONS,C
6061,KEY DESTRUCTION,C
6062,KEY DISCLOSURE,PLS
6063,KEY DISTRIBUTION,DSS;NS;AC
6064,KEY DISTRIBUTION EXCHANGE AND TRUST,C
6065,KEY ENCAPSULATION MECHANISM,C;AC
6066,KEY ENCAPSULATION MECHANISMS,C;AC
6067,KEY ENCRYPTION KEY,AC
6068,KEY ESTABLISHMENT,PLS;AAA;FM
6069,KEY ESTABLISHMENT BASED ON CHANNEL RECIPROCITY,PLS
6070,KEY EXCHANGE,INTRO;FM;NS
6071,KEY GENERATION,PLS;OSV;C;NS;AC;HS;AAA
6072,KEY GOAL INDICATOR  KGI ,RMG
6073,KEY GOAL INDICATORS,RMG
6074,KEY HIERARCHY,AC
6075,KEY LENGTH,INTRO;C;AC
6076,KEY LIFE CYCLE,AC
6077,KEY MANAGEMENT,PLS;OSV;CPS;AC;AAA;INTRO;SSL
6078,KEY MANAGEMENT PRACTICES,C
6079,KEY MANAGEMENT VULNERABILITIES,C
6080,KEY NEGOTIATION,NS
6081,KEY PAIR,NS;AC
6082,KEY PERFORMANCE,RMG
6083,KEY PERFORMANCE AND RISK INDICATORS,RMG
6084,KEY PERFORMANCE INDICATOR  KPI ,RMG
6085,KEY PERFORMANCE INDICATORS,RMG;SSL
6086,KEY PHRASE,HF
6087,KEY REGISTER,HS
6088,KEY RISK INDICATOR  KRD ,RMG
6089,KEY RISK INDICATOR   EFFECTIVENESS,RMG
6090,KEY RISK INDICATOR   MAINTENANCE,RMG
6091,KEY RISK INDICATOR   OPTIMIZATION,RMG
6092,KEY RISK INDICATOR   SELECTION,RMG
6093,KEY RISK INDICATORS,RMG
6094,KEY RISK INDICATORS  KRIS ,RMG
6095,KEY ROLES,RMG
6096,KEY ROTATION,POR;CPS
6097,KEY ROTATION EXPIRATION AND REVOCATION,C
6098,KEY SIZE,C
6099,KEY SIZES,AC
6100,KEY STORAGE,AC
6101,KEY STRENGTH,C
6102,KEY STRENGTH AND KEY GENERATION,C
6103,KEY TRANSPORT,POR;C
6104,KEY TRANSPORTATION,AC
6105,KEY VALUE STORE,DSS
6106,KEY VERIFICATION,PLS
6107,KEY CENTRIC ACCESS CONTROL,AAA
6108,KEY DERIVATION,NS
6109,KEY LOGGING,WAM;AB;MAT
6110,KEY POLICY ATTRIBUTE BASED ENCRYPTION,AAA
6111,KEY SERVER,FM
6112,KEY STREAM,AC
6113,KEY VALUE PAIR,WAM;DSS;SO
6114,KEYBOARD,PLS;HF;MAT;AC
6115,KEYCARD,PLS
6116,KEYED FUNCTIONS,C
6117,KEYGEN ALGORITHM,C;AC
6118,KEYLESS ENCODING,AC
6119,KEYLOGGERS,MAT
6120,KEYS,C
6121,KEYS   CLUSTERING,C
6122,KEYS   ENCRYPTION,C
6123,KEYS   ENCRYPTION   ASYMMETRIC,C
6124,KEYS   ENCRYPTION   AUTOMATED GENERATION,C
6125,KEYS   ENCRYPTION   CERTIFICATE REPLACEMENT,C
6126,KEYS   ENCRYPTION   CERTIFICATE REVOCATION,C
6127,KEYS   ENCRYPTION   CLUSTERING,C
6128,KEYS   ENCRYPTION   DESTRUCTION,C
6129,KEYS   ENCRYPTION   DISTRIBUTION,C
6130,KEYS   ENCRYPTION   DUTIES,C
6131,KEYS   ENCRYPTION   ESCROW,C
6132,KEYS   ENCRYPTION   FINANCIAL INSTITUTIONS,C
6133,KEYS   ENCRYPTION   KEY ENCRYPTING KEYS,C
6134,KEYS   ENCRYPTION   KMIP,C
6135,KEYS   ENCRYPTION   LENGTH,C
6136,KEYS   ENCRYPTION   MANAGEMENT,C
6137,KEYS   ENCRYPTION   PUBLIC,C
6138,KEYS   ENCRYPTION   RANDOMNESS,C
6139,KEYS   ENCRYPTION   RECOVERY,F
6140,KEYS   ENCRYPTION   SPACE,C
6141,KEYS   ENCRYPTION   STORAGE,C
6142,KEYS   ENCRYPTION   WEB OF TRUST,C
6143,KEYS   ENCRYPTION   WRAPPING,C
6144,KEYS   ENCRYPTION   X KISS,C
6145,KEYS   ENCRYPTION   X KRSS,C
6146,KEYS   ENCRYPTION   XKMS,C
6147,KEYS   FOREIGN KEYS,C
6148,KEYS   PRIMARY,C
6149,KEYS   PRIVATE,C
6150,KEYSPACE,C
6151,KEYSTREAM GENERATOR,C
6152,KEYSTROKE DYNAMICS,AAA
6153,KIDNAPPING,AB
6154,KILL CHAIN: REVIEWING THE BASICS,AB
6155,KILL CHAINS,AB
6156,KILL SWITCH,CPS
6157,KINDS,MAT
6158,KINETIC RESPONSES,LR
6159,KISS,FM
6160,KMIP  KEY MANAGEMENT INTEROPERABILITY PROTOCOL ,C
6161,KNOWLEDGE  AUTHENTICATION ,AAA
6162,KNOWLEDGE SKILLS AND ABILITIES,SSL
6163,KNOWLEDGE BASED AUTHENTICATION,AAA;HF
6164,KNOWLEDGE: INTELLIGENCE AND ANALYTICS,SO
6165,KNOWN PLAINTEXT ATTACK,C
6166,KOH SPEECH,CPS
6167,KONNEX BUS,NS
6168,KOTLIN,WAM
6169,KPIS,SSL
6170,KREBS ON SECURITY INCIDENT,SO
6171,KRI EFFECTIVENESS,RMG
6172,KRI MAINTENANCE,RMG
6173,KRI OPTIMIZATION,RMG
6174,KRI SELECTION,RMG
6175,KRIPKE STRUCTURE,FM
6176,KU KLUX KLAN,AB
6177,KVM,MAT
6178,L DIVERSITY,POR
6179,L4 MICROKERNEL,OSV
6180,LABELLED KRIPKE STRUCTURE,FM
6181,LABELLED TRANSITION SYSTEM,FM
6182,LABORATORY,F
6183,LADDER LOGIC,CPS
6184,LAGRANGE INTERPOLATION,C
6185,LANGUAGE DESIGN,SS
6186,LANGUAGE DESIGN AND TYPE SYSTEMS,SS
6187,LANGUAGE INTEGRATED QUERY,SS
6188,LANGUAGE RUNTIME,SS
6189,LANS  LOCAL AREA NETWORKS    CONTROL PLANE,NS
6190,LANS  LOCAL AREA NETWORKS    DATA PLANE,NS
6191,LAPTOP,CPS
6192,LARGE TRANSACTIONS,DSS
6193,LARGE SCALE CONNECTED SYSTEMS,INTRO
6194,LASER SCANNING,CPS
6195,LAST MILE CIRCUIT PROTECTION,PLS
6196,LATE LAUNCH GUARANTEES,HS
6197,LATE COMMIT,PLS
6198,LATENCY,HS;WAM;CPS;POR;FM;AC;DSS;NS
6199,LATENT DESIGN CONDITIONS,INTRO
6200,LATENT FAILURE,HF
6201,LATENT USABILITY FAILURES IN SYSTEMS OF SYSTEMS,HF
6202,LATERAL DATA AND CODE MOVEMENT CONTROL,MAT
6203,LATERAL MOVEMENT,MAT
6204,LATTICE,AAA;C
6205,LATTICE REDUCTION ALGORITHMS,C
6206,LATTICE BASED CONSTRUCTIONS,C
6207,LATTICE BASED POLICIES,AAA
6208,LATTICES,AAA
6209,LAW ENFORCEMENT,LR;AB;CPS;POR;SO;F;INTRO;MAT
6210,LAW ENFORCEMENT INCIDENT RESPONSE AND,LR
6211,LAW MAKING,LR
6212,LAW OF WAR,CPS
6213,LAW PRACTICE,F
6214,LAW SUIT,LR
6215,LAWFULNESS,LR
6216,LAWS OF PHYSICS,CPS;AC
6217,LAWS REGULATIONS STANDARDS AND COMPLIANCE,RMG
6218,LAWYER,LR
6219,LAYER 1: PHYSICAL,PLS
6220,LAYER 1: PHYSICAL LAYER,NS
6221,LAYER 2 TUNNELING PROTOCOL,NS
6222,LAYER 2 TUNNELING PROTOCOL  L2TP ,NS
6223,LAYER 2: DATA LINK LAYER,NS
6224,LAYER 2: LINK,NS
6225,LAYER 3: INTERNETWORKING  IP ,NS
6226,LAYER 3: NETWORK LAYER,NS
6227,LAYER 4: TRANSPORT,NS
6228,LAYER 4: TRANSPORT LAYER,NS
6229,LAYER 5: SESSION,NS
6230,LAYER 5: SESSION LAYER,NS
6231,LAYER 6: PRESENTATION LAYER,NS
6232,LAYER 7: APPLICATION,NS
6233,LAYER 7: APPLICATION LAYER,NS
6234,LAYER2 PROTOCOL,NS
6235,LAYERED APPROACH,INTRO
6236,LAYERED DEFENSES,INTRO
6237,LAYERED OPERATING SYSTEM ARCHITECTURE,OSV
6238,LAYERED REDUNDANCY AS A SURVIVAL STRATEGY,DSS
6239,LAYERING,INTRO
6240,LAYERING WITH ARCHITECTURE,SO
6241,LAYERS OF PROTECTION,CPS
6242,LAYERS OF PROTECTION ANALYSIS  LOPA ,INTRO
6243,LAYERS OF SYSTEM STACK,MAT
6244,LDAP  LIGHTWEIGHT DIRECTORY ACCESS PROTOCOL ,AAA
6245,LEADER ELECTION PROTOCOL,DSS
6246,LEADERSHIP,LR
6247,LEADING BY EXAMPLE,RMG
6248,LEAP  LIGHTWEIGHT EXTENSIBLE AUTHENTICATION PROTOCOL ,NS
6249,LEARNING,RMG
6250,LEARNING WITH ERRORS PROBLEM,C
6251,LEASED LINES,PLS
6252,LEAST COMMON MECHANISM,INTRO
6253,LEAST PRIVILEGE,INTRO;SSL
6254,LED DISPLAY,AAA
6255,LEDGERS,DSS
6256,LEEF,SO
6257,LEFT OR RIGHT ENCRYPTION ORACLE,AC
6258,LEGACY CODE,SS
6259,LEGACY NETWORK,CPS
6260,LEGACY SYSTEM,NS;CPS;PLS;INTRO;AC
6261,LEGACY SYSTEMS,SO
6262,LEGAL ACTION,LR;AAA;SO
6263,LEGAL ADVICE,F;LR
6264,LEGAL AND ETHICAL PRINCIPLES,F
6265,LEGAL AND INDUSTRY REQUIREMENTS,SSL
6266,LEGAL AND REGULATORY CONCERNS,LR
6267,LEGAL AND REGULATORY FRAMEWORK,LR
6268,LEGAL AND REGULATORY REQUIREMENTS,LR;RMG
6269,LEGAL AND REGULATORY REQUIREMENTS   FOR SECURITY PROGRAMS,LR
6270,LEGAL AND REGULATORY REQUIREMENTS   IN RISK ASSESSMENT,LR
6271,LEGAL ASPECTS   OF FORENSIC EVIDENCE,F
6272,LEGAL ASPECTS   OF INFORMATION SECURITY STRATEGY,LR
6273,LEGAL ASPECTS OF FORENSIC EVIDENCE,F
6274,LEGAL ASSISTANCE,LR
6275,LEGAL AUTHORITY,LR;AC
6276,LEGAL CASE,F;LR;AB
6277,LEGAL CAUSATION,LR
6278,LEGAL CHALLENGES,F
6279,LEGAL CLAIM,LR
6280,LEGAL CODE,LR
6281,LEGAL COMPLIANCE,LR
6282,LEGAL COMPLIANCE EXPECTATIONS,LR
6283,LEGAL CONCERNS AND THE DAUBERT STANDARD,F
6284,LEGAL COSTS,LR
6285,LEGAL DEFINITION,LR
6286,LEGAL DEMANDS,LR;RMG
6287,LEGAL DEPARTMENT,LR;SO
6288,LEGAL DEVELOPMENT,LR
6289,LEGAL ENTITIES,DSS
6290,LEGAL FEE,AB
6291,LEGAL FINE,LR;RMG
6292,LEGAL FRAMEWORK,LR;POR;CPS;AC
6293,LEGAL LANDSCAPE,F;LR
6294,LEGAL MATTERS,RMG;AAA
6295,LEGAL NOTICE,LR
6296,LEGAL OBLIGATION,LR
6297,LEGAL PERSONS,LR
6298,LEGAL PRACTICE,LR
6299,LEGAL PRECEDENT,F
6300,LEGAL PRINCIPLE,LR
6301,LEGAL PROCEEDINGS,F;LR;RMG
6302,LEGAL RELATIONSHIP,LR
6303,LEGAL REQUIREMENT,F;LR;SSL;SO
6304,LEGAL RESTRICTION,F;LR
6305,LEGAL RIGHT,LR
6306,LEGAL RULING,F;LR
6307,LEGAL SERVICE,LR
6308,LEGAL STANDARD,LR
6309,LEGAL STUDIES,LR
6310,LEGAL SYSTEM,F;LR
6311,LEGAL TERMINOLOGY,LR
6312,LEGAL THEORIES,F;LR
6313,LEGAL TRADITION,LR
6314,LEGISLATION,F;LR;AB;CPS;SSL;NS;AC
6315,LEGISLATIVE AUTHORITY,LR
6316,LEMNA,MAT
6317,LENGTH EXTENSION ATTACKS,C
6318,LENGTH SIDE CHANNEL,AC
6319,LENGTH SIDE CHANNELS,AC
6320,LESSON LEARNED; IMPLEMENTATION OF NEW COUNTERMEASURES,SO
6321,LESSONS LEARNED,SO
6322,LETTER GRADES,RMG
6323,LEVEL OF EFFORT   CERTIFICATION,SO
6324,LEVEL OF EFFORT   DETERMINATION OF,RMG
6325,LEVEL OF EFFORT   EXAMPLE SECURITY MATRIX   IMPLEMENTATION OF RMF TASKS AND,RMG
6326,LEVEL OF EFFORT   EXAMPLE SECURITY MATRIX   METRICS TO MEASURE,RMG
6327,LEVEL CROSSING ALGORITHM,PLS
6328,LEVELS OF PERCEIVED RISK,RMG
6329,LIABILITY,LR;RMG;MAT;SO
6330,LIABILITY AND COURTS,LR
6331,LIABILITY SHIELD,LR
6332,LIBERTY,LR
6333,LIBERTY RESERVE,AB
6334,LIBPCAP LIBRARY,SO
6335,LIBRARY OPERATING SYSTEM,OSV
6336,LIBRESSL,AC
6337,LIBYAN ARAB FOREIGN BANK,LR
6338,LICENSE,F;LR;POR;OSV;AC
6339,LICENSING,LR
6340,LICENSING AGREEMENT,LR
6341,LICENSING AND INTELLECTUAL PROPERTY,LR
6342,LICENSING EXPOSURE,SSL
6343,LICENSING ISSUES,LR
6344,LICRA V. YAHOO,LR
6345,LIDAR READINGS,CPS
6346,LIFE CYCLE PROCESSES   OF INCIDENT MANAGEMENT,SO
6347,LIFE CYCLE BASED RISK MANAGEMENT PRINCIPLES AND PRACTICES,RMG
6348,LIFE IMPRISONMENT,LR
6349,LIFE CYCLE PHASES   COMPARISON OF,SO
6350,LIFECYCLES IN THE CLOUD,LR
6351,LIGHT,HF
6352,LIGHT WEIGHT SOLUTIONS,HS
6353,LIGHTWEIGHT DIRECTORY ACCESS PROTOCOL  LDAP ,AAA
6354,LIGHTWEIGHT SECURITY,CPS
6355,LIKELIHOOD,LR;AB;CPS;PLS;RMG;SS;SO;DSS;NS;INTRO
6356,LIKELIHOOD AND CONSEQUENCES RATING,RMG
6357,LIKELIHOOD DETERMINATION,RMG
6358,LIKELIHOOD OF RISK,RMG
6359,LIKELIHOOD  PROBABILITY,RMG
6360,LIMIT CHECK,SO
6361,LIMIT REGISTERS,OSV
6362,LIMITATION CLAUSE,LR
6363,LIMITATIONS,FMS;MAT
6364,LIMITATIONS AND VULNERABILITIES,SS
6365,LIMITATIONS OF LIABILITY AND EXCLUSIONS OF LIABILITY,LR
6366,LIMITATIONS OF THE CIA TRIAD,INTRO
6367,LIMITED CAPACITY SECURITY PROTOCOLS,NS
6368,LIMITED USER ACCOUNTS,OSV
6369,LIMITING PRIVILEGES,SS
6370,LINCOLN LAB DATASET,SO
6371,LINE FAILURE,CPS
6372,LINE MANAGER,HF;RMG
6373,LINE RATE,SO
6374,LINEAR ADDRESS,OSV
6375,LINEAR ALGEBRA,FM
6376,LINEAR CRYPTANALYSIS,C
6377,LINEAR CRYPTOANALYSIS,C
6378,LINEAR FEEDBACK SHIFT REGISTER,AC
6379,LINEAR HOMOMORPHIC ENCRYPTION,C
6380,LINEAR TEMPORAL LOGIC,FM
6381,LINEARISABILITY,DSS
6382,LINEARLY HOMOMORPHIC ENCRYPTION,C
